interaction_id,user_id,item_id,item_type,action_type,action_weight
131,56,88,hotel,view,2
132,63,150,attraction,click,3
133,70,27,restaurant,view,2
134,77,5,tour,search,1
135,84,64,hotel,favorite,4
136,91,33,tour,view,2
137,98,119,attraction,click,3
138,15,44,restaurant,view,2
139,22,92,hotel,book,5
140,36,71,tour,favorite,4
141,49,8,restaurant,click,3
142,58,130,hotel,view,2
143,66,165,attraction,favorite,4
144,73,59,tour,click,3
145,80,102,restaurant,view,2
146,87,14,hotel,search,1
147,95,118,tour,view,2
148,7,174,attraction,click,3
149,19,36,restaurant,favorite,4
150,28,60,hotel,view,2
151,34,11,tour,click,3
152,41,99,restaurant,view,2
153,52,121,hotel,favorite,4
154,60,142,attraction,click,3
155,69,77,tour,view,2
156,76,23,restaurant,search,1
157,82,90,hotel,click,3
158,89,157,attraction,view,2
159,97,48,tour,favorite,4
160,104,67,restaurant,click,3
161,11,115,hotel,view,2
162,21,162,attraction,favorite,4
163,32,85,tour,click,3
164,46,54,restaurant,view,2
165,59,136,hotel,book,5
206,12,31,tour,search,1
207,45,31,tour,click,3
208,88,31,tour,view,2
209,67,33,hotel,view,2
210,91,33,hotel,favorite,4
211,24,33,hotel,click,3
212,56,79,attraction,view,2
213,82,79,attraction,click,3
214,73,79,attraction,favorite,4
215,19,79,attraction,book,5
216,34,107,restaurant,view,2
217,58,107,restaurant,click,3
218,64,107,restaurant,favorite,4
219,71,107,restaurant,book,5
220,29,10,restaurant,view,2
221,87,10,restaurant,click,3
222,93,10,restaurant,favorite,4
223,14,111,hotel,view,2
224,52,111,hotel,click,3
225,98,111,hotel,favorite,4
226,21,79,attraction,search,1
227,44,79,attraction,view,2
228,76,79,attraction,click,3
229,101,79,attraction,favorite,4
230,63,79,attraction,book,5
231,12,5,tour,search,1
232,34,5,tour,view,2
233,78,5,tour,click,3
234,91,5,tour,favorite,4
235,56,5,tour,book,5
236,18,22,tour,search,1
237,67,22,tour,view,2
238,103,22,tour,click,3
239,25,41,tour,view,2
240,88,41,tour,click,3
241,44,10,hotel,search,1
242,73,10,hotel,view,2
243,95,10,hotel,click,3
244,16,33,hotel,view,2
245,61,33,hotel,favorite,4
246,84,33,hotel,click,3
247,29,72,hotel,view,2
248,102,72,hotel,book,5
249,14,9,attraction,search,1
250,47,9,attraction,view,2
251,69,9,attraction,click,3
252,22,79,attraction,view,2
253,58,79,attraction,favorite,4
254,91,79,attraction,book,5
255,36,120,attraction,view,2
256,77,120,attraction,click,3
257,19,15,restaurant,search,1
258,52,15,restaurant,view,2
259,86,15,restaurant,click,3
260,27,48,restaurant,view,2
261,63,48,restaurant,favorite,4
262,41,89,restaurant,view,2
263,74,89,restaurant,click,3
264,105,89,restaurant,book,5
265,33,127,restaurant,view,2
266,92,127,restaurant,favorite,4
267,14,12,tour,search,1
268,55,12,tour,view,2
269,89,12,tour,click,3
270,102,12,tour,favorite,4
271,21,45,tour,view,2
272,67,45,tour,click,3
273,93,45,tour,book,5
274,18,77,tour,search,1
275,59,77,tour,view,2
276,84,77,tour,click,3
277,33,25,hotel,search,1
278,71,25,hotel,view,2
279,96,25,hotel,favorite,4
280,12,80,hotel,view,2
281,64,80,hotel,click,3
282,105,80,hotel,book,5
283,27,9,attraction,search,1
284,48,9,attraction,view,2
285,90,9,attraction,click,3
286,36,79,attraction,view,2
287,73,79,attraction,favorite,4
288,101,79,attraction,book,5
289,19,134,attraction,search,1
290,61,134,attraction,view,2
291,88,134,attraction,click,3
292,22,17,restaurant,search,1
293,57,17,restaurant,view,2
294,86,17,restaurant,click,3
295,31,68,restaurant,view,2
296,69,68,restaurant,favorite,4
297,104,68,restaurant,book,5
298,25,120,restaurant,search,1
299,62,120,restaurant,view,2
300,95,120,restaurant,click,3
301,14,5,tour,search,1
302,22,5,tour,view,2
303,35,5,tour,click,3
304,48,5,tour,favorite,4
305,19,42,tour,view,2
306,61,42,tour,click,3
307,77,42,tour,favorite,4
308,9,88,tour,search,1
309,54,88,tour,view,2
310,93,88,tour,click,3
311,27,12,hotel,view,2
312,39,12,hotel,click,3
313,84,12,hotel,favorite,4
314,16,45,hotel,search,1
315,58,45,hotel,view,2
316,102,45,hotel,click,3
317,11,79,attraction,view,2
318,36,79,attraction,click,3
319,71,79,attraction,favorite,4
320,94,79,attraction,book,5
321,18,120,attraction,search,1
322,52,120,attraction,view,2
323,89,120,attraction,click,3
324,7,3,restaurant,view,2
325,44,3,restaurant,click,3
326,68,3,restaurant,favorite,4
327,21,57,restaurant,search,1
328,59,57,restaurant,view,2
329,86,57,restaurant,click,3
330,13,101,restaurant,view,2
331,47,101,restaurant,click,3
332,95,101,restaurant,favorite,4
333,31,127,restaurant,view,2
334,72,127,restaurant,click,3
335,104,127,restaurant,favorite,4
336,25,64,attraction,view,2
337,63,64,attraction,click,3
338,90,64,attraction,favorite,4
339,12,5,tour,search,1
340,34,5,tour,view,2
341,78,5,tour,click,3
342,91,5,tour,favorite,4
343,22,18,tour,view,2
344,56,18,tour,click,3
345,103,18,tour,book,5
346,17,44,tour,view,2
347,65,44,tour,click,3
348,9,31,hotel,search,1
349,48,31,hotel,view,2
350,72,31,hotel,click,3
351,95,31,hotel,favorite,4
352,14,64,hotel,view,2
353,59,64,hotel,click,3
354,27,89,hotel,view,2
355,81,89,hotel,favorite,4
356,6,12,attraction,search,1
357,44,12,attraction,view,2
358,77,12,attraction,click,3
359,18,75,attraction,view,2
360,63,75,attraction,click,3
361,102,75,attraction,favorite,4
362,25,120,attraction,view,2
363,68,120,attraction,click,3
364,11,4,restaurant,search,1
365,39,4,restaurant,view,2
366,74,4,restaurant,click,3
367,21,37,restaurant,view,2
368,66,37,restaurant,favorite,4
369,8,82,restaurant,view,2
370,53,82,restaurant,click,3
371,16,115,restaurant,view,2
372,61,115,restaurant,favorite,4
373,29,127,restaurant,view,2
374,90,127,restaurant,click,3
375,14,12,tour,search,1
376,57,12,tour,view,2
377,91,12,tour,click,3
378,23,45,tour,view,2
379,66,45,tour,favorite,4
380,38,78,tour,search,1
381,84,78,tour,click,3
382,102,78,tour,book,5
383,19,33,hotel,view,2
384,72,33,hotel,click,3
385,95,33,hotel,favorite,4
386,41,65,hotel,search,1
387,88,65,hotel,view,2
388,27,91,hotel,view,2
389,59,91,hotel,click,3
390,16,79,attraction,search,1
391,44,79,attraction,view,2
392,73,79,attraction,click,3
393,101,79,attraction,favorite,4
394,34,120,attraction,view,2
395,68,120,attraction,click,3
396,25,147,attraction,search,1
397,87,147,attraction,view,2
398,31,12,restaurant,search,1
399,56,12,restaurant,view,2
400,94,12,restaurant,click,3
401,18,47,restaurant,view,2
402,63,47,restaurant,favorite,4
403,29,89,restaurant,search,1
404,71,89,restaurant,view,2
405,106,89,restaurant,click,3
406,22,115,restaurant,view,2
407,58,115,restaurant,favorite,4
408,12,5,tour,view,2
409,34,5,tour,click,3
410,78,12,tour,favorite,4
411,56,12,tour,book,5
412,91,24,tour,view,2
413,18,24,tour,click,3
414,67,48,tour,search,1
415,83,48,tour,view,2
416,29,73,tour,click,3
417,104,73,tour,favorite,4
418,22,3,hotel,view,2
419,59,3,hotel,click,3
420,71,14,hotel,favorite,4
421,46,14,hotel,book,5
422,88,29,hotel,view,2
423,16,29,hotel,click,3
424,97,52,hotel,search,1
425,41,52,hotel,view,2
426,63,88,hotel,click,3
427,25,88,hotel,favorite,4
428,54,7,attraction,view,2
429,11,7,attraction,click,3
430,86,19,attraction,favorite,4
431,38,19,attraction,book,5
432,72,40,attraction,view,2
433,19,40,attraction,click,3
434,95,64,attraction,search,1
435,44,64,attraction,view,2
436,61,92,attraction,click,3
437,27,92,attraction,favorite,4
438,33,4,restaurant,view,2
439,80,4,restaurant,click,3
440,58,16,restaurant,favorite,4
441,21,16,restaurant,book,5
442,69,35,restaurant,view,2
443,14,35,restaurant,click,3
444,92,61,restaurant,search,1
445,47,61,restaurant,view,2
446,75,89,restaurant,click,3
447,30,89,restaurant,favorite,4
448,14,12,tour,search,1
449,38,12,tour,view,2
450,91,12,tour,click,3
451,56,12,tour,favorite,4
452,22,45,tour,view,2
453,79,45,tour,click,3
454,101,45,tour,book,5
455,33,78,hotel,search,1
456,64,78,hotel,view,2
457,88,78,hotel,click,3
458,19,78,hotel,favorite,4
459,47,101,hotel,view,2
460,72,101,hotel,click,3
461,95,101,hotel,book,5
462,28,79,attraction,search,1
463,59,79,attraction,view,2
464,86,79,attraction,click,3
465,103,79,attraction,favorite,4
466,67,79,attraction,book,5
467,16,134,attraction,view,2
468,51,134,attraction,click,3
469,92,134,attraction,favorite,4
470,24,44,restaurant,search,1
471,61,44,restaurant,view,2
472,85,44,restaurant,click,3
473,104,44,restaurant,favorite,4
474,18,107,restaurant,view,2
475,43,107,restaurant,click,3
476,77,107,restaurant,favorite,4
477,96,107,restaurant,book,5
478,35,120,restaurant,view,2
479,69,120,restaurant,click,3
480,102,120,restaurant,favorite,4
481,41,25,tour,view,2
482,74,25,tour,click,3
483,98,25,tour,favorite,4
484,12,31,tour,search,1
485,45,31,tour,click,3
486,88,31,tour,view,2
487,67,33,hotel,view,2
488,91,33,hotel,favorite,4
489,24,33,hotel,click,3
490,56,79,attraction,view,2
491,82,79,attraction,click,3
492,73,79,attraction,favorite,4
493,19,79,attraction,book,5
494,34,107,restaurant,view,2
495,58,107,restaurant,click,3
496,77,107,restaurant,favorite,4
497,21,12,tour,view,2
498,64,12,tour,click,3
499,95,12,tour,book,5
500,18,55,hotel,search,1
501,39,55,hotel,view,2
502,84,55,hotel,click,3
503,26,120,attraction,view,2
504,72,120,attraction,click,3
505,101,120,attraction,favorite,4
506,14,44,tour,search,1
507,63,44,tour,view,2
508,90,44,tour,click,3
509,27,88,hotel,view,2
510,52,88,hotel,favorite,4
511,36,140,attraction,view,2
512,69,140,attraction,click,3
513,41,22,restaurant,search,1
514,75,22,restaurant,view,2
515,98,22,restaurant,click,3
516,30,60,tour,view,2
517,87,60,tour,favorite,4
518,16,127,restaurant,view,2
519,59,127,restaurant,click,3
520,104,127,restaurant,favorite,4
521,12,5,tour,view,2
522,34,5,tour,click,3
523,78,5,tour,favorite,4
524,19,18,tour,search,1
525,65,18,tour,view,2
526,91,18,tour,click,3
527,27,33,hotel,view,2
528,84,33,hotel,favorite,4
529,53,33,hotel,click,3
530,44,67,hotel,view,2
531,98,67,hotel,click,3
532,71,67,hotel,favorite,4
533,15,79,attraction,search,1
534,62,79,attraction,view,2
535,90,79,attraction,click,3
536,41,79,attraction,favorite,4
537,22,120,attraction,view,2
538,76,120,attraction,click,3
539,105,120,attraction,book,5
540,31,44,restaurant,search,1
541,69,44,restaurant,view,2
542,87,44,restaurant,click,3
543,14,78,restaurant,view,2
544,58,78,restaurant,favorite,4
545,102,78,restaurant,click,3
546,25,107,restaurant,view,2
547,66,107,restaurant,click,3
548,94,107,restaurant,favorite,4
549,36,101,tour,search,1
550,81,101,tour,view,2
551,59,101,tour,click,3
552,47,124,tour,view,2
553,73,124,tour,favorite,4
554,106,124,tour,book,5
555,12,5,tour,search,1
556,34,5,tour,view,2
557,77,5,tour,click,3
558,91,5,tour,favorite,4
559,18,22,tour,view,2
560,63,22,tour,click,3
561,104,22,tour,book,5
562,27,89,hotel,search,1
563,55,89,hotel,view,2
564,88,89,hotel,click,3
565,96,89,hotel,favorite,4
566,14,102,hotel,view,2
567,61,102,hotel,click,3
568,79,102,hotel,book,5
569,23,41,attraction,search,1
570,48,41,attraction,view,2
571,72,41,attraction,click,3
572,101,41,attraction,favorite,4
573,19,120,attraction,view,2
574,67,120,attraction,click,3
575,90,120,attraction,book,5
576,31,7,restaurant,search,1
577,59,7,restaurant,view,2
578,83,7,restaurant,click,3
579,16,58,restaurant,view,2
580,44,58,restaurant,click,3
581,71,58,restaurant,favorite,4
582,25,103,restaurant,view,2
583,66,103,restaurant,click,3
584,92,103,restaurant,favorite,4
585,38,127,restaurant,view,2
586,84,127,restaurant,click,3
587,105,127,restaurant,book,5
588,12,5,tour,view,2
589,34,5,tour,click,3
590,78,12,tour,search,1
591,56,12,tour,view,2
592,91,18,tour,favorite,4
593,23,18,tour,click,3
594,67,24,tour,view,2
595,85,24,tour,book,5
596,44,31,tour,search,1
597,101,31,tour,click,3
598,29,40,tour,view,2
599,73,40,tour,favorite,4
600,88,55,tour,view,2
601,16,55,tour,click,3
602,64,72,tour,book,5
603,11,7,hotel,search,1
604,39,7,hotel,view,2
605,94,15,hotel,click,3
606,52,15,hotel,favorite,4
607,76,22,hotel,view,2
608,18,22,hotel,click,3
609,61,33,hotel,view,2
610,105,33,hotel,favorite,4
611,27,56,hotel,view,2
612,83,56,hotel,click,3
613,69,78,hotel,favorite,4
614,14,9,attraction,search,1
615,47,9,attraction,view,2
616,92,16,attraction,click,3
617,36,16,attraction,favorite,4
618,58,33,attraction,view,2
619,80,33,attraction,click,3
620,21,64,attraction,view,2
621,99,64,attraction,favorite,4
622,63,79,attraction,book,5
623,31,3,restaurant,search,1
624,75,3,restaurant,view,2
625,48,10,restaurant,click,3
626,102,10,restaurant,favorite,4
627,66,25,restaurant,view,2
628,19,25,restaurant,click,3
629,87,40,restaurant,favorite,4
630,54,60,restaurant,view,2
631,96,60,restaurant,click,3
632,12,31,tour,search,1
633,45,31,tour,click,3
634,88,31,tour,view,2
635,67,33,tour,view,2
636,91,33,tour,favorite,4
637,24,33,tour,click,3
638,56,79,attraction,view,2
639,82,79,attraction,click,3
640,73,79,attraction,favorite,4
641,19,79,attraction,book,5
642,34,107,restaurant,view,2
643,58,107,restaurant,click,3
644,76,107,restaurant,favorite,4
645,41,5,hotel,view,2
646,63,5,hotel,click,3
647,95,5,hotel,favorite,4
648,22,64,attraction,view,2
649,39,64,attraction,click,3
650,81,64,attraction,favorite,4
651,17,42,tour,view,2
652,66,42,tour,click,3
653,104,42,tour,favorite,4
654,29,82,attraction,view,2
655,54,82,attraction,click,3
656,90,82,attraction,book,5
657,8,12,hotel,view,2
658,47,12,hotel,click,3
659,61,120,restaurant,view,2
660,72,120,restaurant,click,3
661,98,120,restaurant,favorite,4
662,14,95,attraction,view,2
663,37,95,attraction,click,3
664,53,18,tour,view,2
665,86,18,tour,click,3
666,25,60,hotel,view,2
667,69,60,hotel,favorite,4
668,31,150,attraction,view,2
669,84,150,attraction,click,3
670,44,101,restaurant,view,2
671,100,101,restaurant,click,3
672,14,5,tour,search,1
673,27,5,tour,view,2
674,63,5,tour,click,3
675,81,5,tour,favorite,4
676,19,44,tour,view,2
677,52,44,tour,click,3
678,94,44,tour,book,5
679,33,79,tour,search,1
680,70,79,tour,view,2
681,11,33,hotel,view,2
682,48,33,hotel,click,3
683,86,33,hotel,favorite,4
684,21,71,hotel,search,1
685,59,71,hotel,view,2
686,102,71,hotel,click,3
687,16,89,hotel,view,2
688,77,89,hotel,favorite,4
689,25,79,attraction,search,1
690,46,79,attraction,view,2
691,68,79,attraction,click,3
692,91,79,attraction,favorite,4
693,18,120,attraction,view,2
694,57,120,attraction,click,3
695,99,120,attraction,book,5
696,22,150,attraction,view,2
697,64,150,attraction,favorite,4
698,17,45,restaurant,search,1
699,39,45,restaurant,view,2
700,74,45,restaurant,click,3
701,29,88,restaurant,view,2
702,61,88,restaurant,favorite,4
703,13,107,restaurant,search,1
704,55,107,restaurant,view,2
705,98,107,restaurant,click,3
706,36,127,restaurant,view,2
707,84,127,restaurant,book,5
708,12,5,tour,view,2
709,45,18,tour,click,3
710,78,42,tour,favorite,4
711,91,77,tour,book,5
712,33,101,tour,view,2
713,54,12,hotel,view,2
714,88,25,hotel,click,3
715,67,44,hotel,favorite,4
716,21,60,hotel,view,2
717,102,82,hotel,click,3
718,17,3,attraction,view,2
719,64,14,attraction,click,3
720,95,35,attraction,favorite,4
721,38,67,attraction,view,2
722,76,120,attraction,click,3
723,59,9,restaurant,view,2
724,84,21,restaurant,click,3
725,16,34,restaurant,favorite,4
726,97,58,restaurant,view,2
727,41,77,restaurant,click,3
728,23,66,tour,view,2
729,70,88,tour,click,3
730,104,120,tour,favorite,4
731,36,15,tour,view,2
732,62,53,tour,click,3
733,48,96,hotel,view,2
734,73,108,hotel,click,3
735,19,121,hotel,favorite,4
736,86,132,hotel,view,2
737,57,136,hotel,click,3
738,11,142,attraction,view,2
739,69,150,attraction,click,3
740,93,161,attraction,favorite,4
741,28,168,attraction,view,2
742,75,174,attraction,click,3
743,32,92,restaurant,view,2
744,66,101,restaurant,click,3
745,90,113,restaurant,favorite,4
746,14,119,restaurant,view,2
747,58,127,restaurant,click,3
748,15,12,tour,view,2
749,42,12,tour,click,3
750,88,12,tour,favorite,4
751,27,45,tour,search,1
752,64,45,tour,view,2
753,101,45,tour,click,3
754,9,78,tour,view,2
755,53,78,tour,click,3
756,76,78,tour,book,5
757,18,25,hotel,view,2
758,61,25,hotel,click,3
759,94,25,hotel,favorite,4
760,33,60,hotel,search,1
761,70,60,hotel,view,2
762,105,60,hotel,click,3
763,21,82,hotel,view,2
764,59,82,hotel,click,3
765,87,82,hotel,book,5
766,14,79,attraction,view,2
767,46,79,attraction,click,3
768,92,79,attraction,favorite,4
769,31,120,attraction,search,1
770,68,120,attraction,view,2
771,100,120,attraction,click,3
772,17,150,attraction,view,2
773,55,150,attraction,click,3
774,83,150,attraction,book,5
775,26,33,restaurant,view,2
776,62,33,restaurant,click,3
777,90,33,restaurant,favorite,4
778,11,88,restaurant,search,1
779,47,88,restaurant,view,2
780,74,88,restaurant,click,3
781,29,127,restaurant,view,2
782,66,127,restaurant,click,3
783,98,127,restaurant,book,5
784,14,5,tour,view,2
785,37,5,tour,click,3
786,82,12,tour,favorite,4
787,59,12,tour,book,5
788,23,31,tour,search,1
789,91,31,tour,view,2
790,48,44,tour,click,3
791,76,44,tour,favorite,4
792,18,7,hotel,view,2
793,65,7,hotel,click,3
794,102,15,hotel,favorite,4
795,34,15,hotel,book,5
796,71,33,hotel,view,2
797,27,33,hotel,click,3
798,88,42,hotel,favorite,4
799,53,42,hotel,book,5
800,16,79,attraction,view,2
801,94,79,attraction,click,3
802,61,79,attraction,favorite,4
803,39,79,attraction,book,5
804,72,101,attraction,view,2
805,21,101,attraction,click,3
806,86,120,attraction,favorite,4
807,55,120,attraction,book,5
808,19,5,restaurant,view,2
809,67,5,restaurant,click,3
810,104,12,restaurant,favorite,4
811,41,12,restaurant,book,5
812,58,48,restaurant,view,2
813,29,48,restaurant,click,3
814,93,73,restaurant,favorite,4
815,64,73,restaurant,book,5
816,35,107,restaurant,view,2
817,77,107,restaurant,click,3
818,52,120,restaurant,favorite,4
819,90,120,restaurant,book,5
820,11,127,restaurant,view,2
821,69,127,restaurant,click,3
822,14,5,tour,view,2
823,27,5,tour,click,3
824,83,5,tour,favorite,4
825,41,18,tour,view,2
826,96,18,tour,click,3
827,22,18,tour,book,5
828,55,44,tour,search,1
829,68,44,tour,view,2
830,73,12,hotel,view,2
831,19,12,hotel,click,3
832,88,12,hotel,favorite,4
833,34,47,hotel,view,2
834,61,47,hotel,click,3
835,92,89,hotel,search,1
836,25,89,hotel,view,2
837,47,9,attraction,view,2
838,79,9,attraction,click,3
839,101,9,attraction,favorite,4
840,16,37,attraction,view,2
841,66,37,attraction,click,3
842,58,74,attraction,search,1
843,84,74,attraction,view,2
844,29,118,attraction,view,2
845,97,118,attraction,click,3
846,53,3,restaurant,view,2
847,11,3,restaurant,click,3
848,72,3,restaurant,favorite,4
849,64,28,restaurant,view,2
850,90,28,restaurant,click,3
851,38,66,restaurant,search,1
852,104,66,restaurant,view,2
853,21,101,restaurant,view,2
854,87,101,restaurant,click,3
855,49,127,restaurant,favorite,4
856,106,127,restaurant,click,3
857,12,5,tour,search,1
858,34,5,tour,view,2
859,58,5,tour,click,3
860,91,12,tour,favorite,4
861,77,18,tour,book,5
862,26,33,hotel,search,1
863,49,33,hotel,view,2
864,63,33,hotel,click,3
865,88,40,hotel,favorite,4
866,101,40,hotel,book,5
867,14,79,attraction,search,1
868,38,79,attraction,view,2
869,66,79,attraction,click,3
870,92,85,attraction,favorite,4
871,54,85,attraction,book,5
872,19,107,restaurant,search,1
873,42,107,restaurant,view,2
874,73,107,restaurant,click,3
875,95,115,restaurant,favorite,4
876,61,115,restaurant,book,5
877,28,21,tour,view,2
878,46,21,tour,click,3
879,82,21,tour,favorite,4
880,17,60,hotel,view,2
881,59,60,hotel,click,3
882,103,60,hotel,favorite,4
883,31,120,attraction,view,2
884,68,120,attraction,click,3
885,90,120,attraction,book,5
886,22,99,restaurant,view,2
887,47,99,restaurant,click,3
888,76,99,restaurant,favorite,4
889,35,30,tour,view,2
890,64,30,tour,click,3
891,87,30,tour,book,5
892,41,72,hotel,view,2
893,69,72,hotel,click,3
894,98,72,hotel,book,5
895,14,5,tour,view,2
896,27,5,tour,click,3
897,88,5,tour,favorite,4
898,53,12,tour,search,1
899,91,12,tour,click,3
900,36,18,tour,view,2
901,72,33,hotel,view,2
902,19,33,hotel,click,3
903,84,33,hotel,favorite,4
904,41,40,hotel,view,2
905,67,40,hotel,click,3
906,102,55,hotel,book,5
907,23,79,attraction,view,2
908,59,79,attraction,click,3
909,94,79,attraction,favorite,4
910,31,90,attraction,view,2
911,76,90,attraction,click,3
912,48,101,attraction,book,5
913,66,15,restaurant,view,2
914,29,15,restaurant,click,3
915,87,15,restaurant,favorite,4
916,52,42,restaurant,view,2
917,101,42,restaurant,click,3
918,73,42,restaurant,book,5
919,18,64,attraction,view,2
920,45,64,attraction,click,3
921,92,64,attraction,favorite,4
922,26,88,hotel,view,2
923,60,88,hotel,click,3
924,105,88,hotel,favorite,4
925,34,120,restaurant,view,2
926,81,120,restaurant,click,3
927,97,120,restaurant,book,5
928,55,24,tour,view,2
929,70,24,tour,click,3
930,99,24,tour,book,5
931,22,175,attraction,view,2
932,64,175,attraction,click,3
933,90,175,attraction,favorite,4
934,12,45,tour,view,2
935,88,12,hotel,click,3
936,95,88,attraction,search,1
937,23,5,restaurant,favorite,4
938,45,110,tour,book,5
939,76,35,hotel,view,2
940,9,150,attraction,click,3
941,102,60,restaurant,view,2
942,34,25,tour,search,1
943,51,130,hotel,click,3
944,67,40,attraction,favorite,4
945,82,99,restaurant,book,5
946,15,88,tour,view,2
947,99,8,hotel,search,1
948,7,42,attraction,click,3
949,41,15,restaurant,view,2
950,29,101,tour,click,3
951,106,55,hotel,favorite,4
952,63,170,attraction,view,2
953,55,75,restaurant,search,1
954,80,5,tour,book,5
955,19,125,hotel,view,2
956,38,15,attraction,click,3
957,91,112,restaurant,favorite,4
958,72,66,tour,view,2
959,10,90,hotel,search,1
960,48,100,attraction,click,3
961,85,30,restaurant,book,5
962,26,120,tour,view,2
963,59,10,hotel,click,3
964,94,78,attraction,view,2
965,13,50,restaurant,favorite,4
966,77,95,tour,search,1
967,33,105,hotel,click,3
968,104,160,attraction,book,5
969,21,85,restaurant,view,2
970,66,30,tour,click,3
971,44,45,hotel,view,2
972,89,122,attraction,search,1
973,53,10,restaurant,favorite,4
974,11,75,tour,click,3
975,39,135,hotel,book,5
976,98,145,attraction,view,2
977,28,118,restaurant,search,1
978,71,15,tour,view,2
979,101,70,hotel,click,3
980,50,68,attraction,favorite,4
981,17,44,restaurant,view,2
982,84,115,tour,search,1
983,62,58,hotel,view,2
984,30,80,attraction,click,3
985,92,92,restaurant,book,5
986,8,60,tour,view,2
987,75,128,hotel,favorite,4
988,105,5,attraction,search,1
989,49,126,restaurant,click,3
990,57,40,tour,view,2
991,20,96,hotel,click,3
992,87,110,attraction,view,2
993,36,108,restaurant,search,1
994,14,5,tour,view,2
995,27,5,tour,click,3
996,83,5,tour,favorite,4
997,19,18,tour,view,2
998,64,18,tour,click,3
999,71,42,tour,search,1
1000,95,42,tour,view,2
1001,22,7,hotel,view,2
1002,48,7,hotel,click,3
1003,102,7,hotel,favorite,4
1004,36,25,hotel,view,2
1005,77,25,hotel,click,3
1006,58,64,attraction,view,2
1007,91,64,attraction,click,3
1008,13,64,attraction,favorite,4
1009,44,89,attraction,view,2
1010,68,89,attraction,click,3
1011,106,107,restaurant,view,2
1012,39,107,restaurant,click,3
1013,74,107,restaurant,favorite,4
1014,52,18,restaurant,view,2
