tower_item_id,item_type,item_id,title,location,latitude,longitude,price,normalized_features,star_rating,property_type,difficulty_level,tour_type,attraction_type,amenities_json,categories_json,cuisines_json,diets_json,suitable_for_json
138,tour,11,Tour Bạc Liêu – Chùa Xiêm Cán – Vườn Chim 2 Ngày,Bạc Liêu,9.26800000,105.71500000,205801.00,"[""culture"", ""nature"", ""pickup"", ""guide"", ""hotel"", ""meals"", ""guide""]",,,moderate,group,,,"[""culture"", ""nature""]",,,
139,tour,12,Tour Bắc Ninh – Làng Quan Họ – Đền Đô 1 Ngày,Bắc Ninh,21.11880000,106.03890000,195270.00,"[""culture"", ""historical"", ""pickup"", ""guide"", ""transport"", ""guide"", ""entrance_fees""]",,,easy,group,,,"[""culture"", ""historical""]",,,
140,tour,13,Tour Bắc Ninh – Chùa Dâu – Làng Tranh Đông Hồ 2 Ngày,Bắc Ninh,21.04000000,106.07500000,108950.00,"[""culture"", ""historical"", ""pickup"", ""guide"", ""hotel"", ""meals"", ""guide""]",,,moderate,group,,,"[""culture"", ""historical""]",,,
141,tour,14,Tour Bến Tre – Cồn Phụng – Trải Nghiệm Miệt Vườn 1 Ngày,Bến Tre,10.28324000,106.01038000,218940.00,"[""culture"", ""nature"", ""food"", ""pickup"", ""professional_guide"", ""hotel"", ""meals"", ""transport"", ""guide"", ""entrance_fees""]",,,easy,group,,,"[""culture"", ""nature"", ""food""]",,,
142,tour,15,Tour Bến Tre – Làng Nghề Dừa – Du Lịch Sinh Thái 2 Ngày,Bến Tre,10.24156000,106.35672000,177849.00,"[""culture"", ""nature"", ""homestay"", ""pickup"", ""bike_rental"", ""hotel"", ""meals"", ""transport"", ""guide""]",,,easy,group,,,"[""culture"", ""nature"", ""homestay""]",,,
143,tour,16,Tour Quy Nhơn – Kỳ Co – Eo Gió 2 Ngày,Bình Định,13.76811000,109.24712000,152427.00,"[""beach"", ""nature"", ""photography"", ""pickup"", ""boat"", ""hotel"", ""meals"", ""transport"", ""guide""]",,,moderate,group,,,"[""beach"", ""nature"", ""photography""]",,,
144,tour,17,Tour Bình Định – Tây Sơn – Văn Hóa Lịch Sử 1 Ngày,Bình Định,13.94382000,109.03392000,148586.00,"[""culture"", ""historical"", ""pickup"", ""meals"", ""transport"", ""guide""]",,,easy,group,,,"[""culture"", ""historical""]",,,
145,tour,18,Tour Bình Dương – Đại Nam – Làng Tre 1 Ngày,Bình Dương,11.06672000,106.67319000,205649.00,"[""city"", ""culture"", ""pickup"", ""meals"", ""transport"", ""guide""]",,,easy,group,,,"[""city"", ""culture""]",,,
146,tour,19,Tour Bình Dương – Sinh Thái Hồ Dầu Tiếng 2 Ngày,Bình Dương,11.32781000,106.30542000,162488.00,"[""nature"", ""camping"", ""photography"", ""pickup"", ""camping_gear"", ""hotel"", ""meals"", ""transport"", ""guide""]",,,moderate,group,,,"[""nature"", ""camping"", ""photography""]",,,
147,tour,20,Tour Núi Bà Rá – Hồ Thác Mơ 2 Ngày 1 Đêm,Bình Phước,11.81120000,106.99350000,185000.00,"[""nature"", ""mountain"", ""photography"", ""pickup"", ""professional_guide"", ""wifi_on_board"", ""hotel"", ""breakfast"", ""meals"", ""lunch"", ""dinner"", ""entrance_fees"", ""activities""]",,,moderate,group,,,"[""nature"", ""mountain"", ""photography""]",,,
148,tour,21,Tour Sóc Bom Bo – Vườn Điều Bình Phước 1 Ngày,Bình Phước,11.90540000,107.21560000,98000.00,"[""culture"", ""historical"", ""pickup"", ""professional_guide"", ""hotel"", ""breakfast"", ""meals"", ""lunch"", ""dinner"", ""entrance_fees"", ""activities""]",,,easy,group,,,"[""culture"", ""historical""]",,,
149,tour,22,Tour Mũi Né – Đồi Cát Bay 2 Ngày 1 Đêm,Bình Thuận,10.94600000,108.28220000,210000.00,"[""beach"", ""nature"", ""photography"", ""pickup"", ""professional_guide"", ""wifi_on_board"", ""hotel"", ""breakfast"", ""meals"", ""lunch"", ""dinner"", ""entrance_fees"", ""activities""]",,,easy,group,,,"[""beach"", ""nature"", ""photography""]",,,
150,tour,23,Tour Hải Đăng Kê Gà – Biển Bình Thuận 1 Ngày,Bình Thuận,10.78790000,107.72760000,135000.00,"[""beach"", ""historical"", ""pickup"", ""professional_guide"", ""hotel"", ""breakfast"", ""meals"", ""lunch"", ""dinner"", ""entrance_fees"", ""activities""]",,,easy,group,,,"[""beach"", ""historical""]",,,
151,tour,24,Tour Mũi Cà Mau – Đất Mũi 2 Ngày 1 Đêm,Cà Mau,8.63260000,104.72030000,225000.00,"[""nature"", ""wildlife"", ""photography"", ""pickup"", ""professional_guide"", ""boat_trip"", ""hotel"", ""breakfast"", ""meals"", ""lunch"", ""dinner"", ""entrance_fees"", ""activities""]",,,moderate,group,,,"[""nature"", ""wildlife"", ""photography""]",,,
152,tour,25,Tour Rừng U Minh Hạ – Cà Mau 1 Ngày,Cà Mau,9.17640000,104.89470000,87000.00,"[""nature"", ""wildlife"", ""pickup"", ""professional_guide"", ""hotel"", ""breakfast"", ""meals"", ""lunch"", ""dinner"", ""entrance_fees"", ""activities""]",,,easy,group,,,"[""nature"", ""wildlife""]",,,
153,tour,26,Tour Cần Thơ – Chợ Nổi Cái Răng 1 Ngày,Cần Thơ,10.04516200,105.74685700,180000.00,"[""culture"", ""food"", ""city"", ""pickup"", ""guide"", ""meals"", ""guide"", ""entrance_fees""]",,,easy,group,,,"[""culture"", ""food"", ""city""]",,,
154,tour,27,Tour Cần Thơ – Cồn Sơn Trải Nghiệm 2 Ngày,Cần Thơ,10.08651200,105.74621000,230000.00,"[""nature"", ""culture"", ""food"", ""pickup"", ""guide"", ""meals"", ""guide"", ""activities""]",,,easy,group,,,"[""nature"", ""culture"", ""food""]",,,
155,tour,28,Tour Cao Bằng – Thác Bản Giốc 2 Ngày,Cao Bằng,22.85321400,106.72234500,210000.00,"[""nature"", ""adventure"", ""mountain"", ""pickup"", ""guide"", ""meals"", ""guide"", ""entrance_fees""]",,,moderate,group,,,"[""nature"", ""adventure"", ""mountain""]",,,
156,tour,29,Tour Cao Bằng – Hồ Thang Hen 3 Ngày,Cao Bằng,22.78945100,106.55621000,160000.00,"[""nature"", ""mountain"", ""guide"", ""meals"", ""guide""]",,,moderate,group,,,"[""nature"", ""mountain""]",,,
157,tour,30,Tour Đà Nẵng – Bà Nà Hills 1 Ngày,Đà Nẵng,15.99587400,107.99612300,250000.00,"[""city"", ""culture"", ""pickup"", ""guide"", ""meals"", ""guide"", ""entrance_fees""]",,,easy,group,,,"[""city"", ""culture""]",,,
158,tour,31,Tour Đà Nẵng – Ngũ Hành Sơn – Hội An 2 Ngày,Đà Nẵng,15.99532100,108.26354200,190000.00,"[""culture"", ""city"", ""pickup"", ""guide"", ""meals"", ""guide""]",,,easy,group,,,"[""culture"", ""city""]",,,
159,tour,32,Tour Buôn Ma Thuột – Hồ Lắk 2 Ngày,Đắk Lắk,12.66619400,108.03824700,180000.00,"[""culture"", ""nature"", ""mountain"", ""pickup"", ""professional_guide"", ""hotel"", ""breakfast"", ""meals"", ""lunch"", ""dinner"", ""entrance_fees"", ""activities""]",,,moderate,group,,,"[""culture"", ""nature"", ""mountain""]",,,
160,tour,33,Tour Thác Dray Nur – Dray Sáp 1 Ngày,Đắk Lắk,12.48180000,107.98220000,95000.00,"[""nature"", ""photography"", ""pickup"", ""professional_guide"", ""hotel"", ""breakfast"", ""meals"", ""lunch"", ""dinner"", ""entrance_fees"", ""activities""]",,,easy,group,,,"[""nature"", ""photography""]",,,
161,tour,34,Tour Công Viên Địa Chất Đắk Nông 3 Ngày,Đắk Nông,12.00400000,107.69000000,220000.00,"[""adventure"", ""nature"", ""pickup"", ""professional_guide"", ""hotel"", ""breakfast"", ""meals"", ""lunch"", ""dinner"", ""entrance_fees"", ""activities""]",,,hard,group,,,"[""adventure"", ""nature""]",,,
162,tour,35,Tour Hồ Tà Đùng 2 Ngày,Đắk Nông,11.93670000,107.89340000,150000.00,"[""nature"", ""mountain"", ""pickup"", ""professional_guide"", ""hotel"", ""breakfast"", ""meals"", ""lunch"", ""dinner"", ""entrance_fees"", ""activities""]",,,moderate,group,,,"[""nature"", ""mountain""]",,,
163,tour,36,Tour Điện Biên Phủ – Mường Phăng 2 Ngày,Điện Biên,21.38600000,103.02300000,200000.00,"[""historical"", ""culture"", ""pickup"", ""professional_guide"", ""hotel"", ""breakfast"", ""meals"", ""lunch"", ""dinner"", ""entrance_fees"", ""activities""]",,,moderate,group,,,"[""historical"", ""culture""]",,,
164,tour,37,Tour A Pa Chải 3 Ngày,Điện Biên,22.40600000,102.87200000,245000.00,"[""adventure"", ""culture"", ""pickup"", ""professional_guide"", ""hotel"", ""breakfast"", ""meals"", ""lunch"", ""dinner"", ""entrance_fees"", ""activities""]",,,hard,group,,,"[""adventure"", ""culture""]",,,
165,tour,38,Tour Hà Giang – Cao Nguyên Đá Đồng Văn 3 Ngày,Hà Giang,22.82333333,104.98333333,185000.00,"[""nature"", ""culture"", ""mountain"", ""pickup"", ""guide"", ""hotel"", ""meals"", ""transport"", ""guide""]",,,moderate,group,,,"[""nature"", ""culture"", ""mountain""]",,,
166,tour,39,Tour Hà Giang – Sông Nho Quế 2 Ngày,Hà Giang,23.16666667,105.41666667,95000.00,"[""nature"", ""adventure"", ""pickup"", ""transport"", ""guide""]",,,easy,group,,,"[""nature"", ""adventure""]",,,
167,tour,40,Tour Hà Nam – Chùa Tam Chúc 1 Ngày,Hà Nam,20.56666667,105.91666667,80000.00,"[""culture"", ""religious"", ""pickup"", ""transport"", ""guide""]",,,easy,group,,,"[""culture"", ""religious""]",,,
168,tour,41,Tour Hà Nam – Làng Vũ Đại 2 Ngày,Hà Nam,20.58333333,106.05000000,145000.00,"[""culture"", ""food"", ""pickup"", ""transport"", ""guide""]",,,easy,group,,,"[""culture"", ""food""]",,,
169,tour,42,Tour Hà Nội – Phố Cổ – Hồ Gươm 1 Ngày,Hà Nội,21.02851100,105.80481700,90000.00,"[""city"", ""culture"", ""pickup"", ""transport"", ""guide""]",,,easy,group,,,"[""city"", ""culture""]",,,
170,tour,43,Tour Hà Nội – Làng Cổ Đường Lâm 2 Ngày,Hà Nội,21.13888889,105.50416667,210000.00,"[""culture"", ""historical"", ""pickup"", ""transport"", ""guide""]",,,easy,group,,,"[""culture"", ""historical""]",,,
171,tour,44,Tour Hà Tĩnh – Chùa Hương Tích – Biển Thiên Cầm 2 Ngày,Hà Tĩnh,18.35595300,105.88951200,185000.00,"[""culture"", ""beach"", ""nature"", ""religious"", ""pickup"", ""professional_guide"", ""hotel"", ""breakfast"", ""meals"", ""entrance_fees"", ""guide""]",,,moderate,group,,,"[""culture"", ""beach"", ""nature"", ""religious""]",,,
172,tour,45,Tour Hà Tĩnh – Ngã Ba Đồng Lộc – Khu Lưu Niệm Nguyễn Du 1 Ngày,Hà Tĩnh,18.45012000,105.76833000,98000.00,"[""culture"", ""historical"", ""pickup"", ""meals"", ""entrance_fees"", ""guide""]",,,easy,group,,,"[""culture"", ""historical""]",,,
173,tour,46,Tour Hải Dương – Côn Sơn Kiếp Bạc – Đền Chu Văn An 2 Ngày,Hải Dương,21.13250000,106.38560000,210000.00,"[""culture"", ""historical"", ""nature"", ""pickup"", ""professional_guide"", ""hotel"", ""meals"", ""entrance_fees"", ""guide""]",,,moderate,group,,,"[""culture"", ""historical"", ""nature""]",,,
174,tour,47,Tour Hải Dương – Làng Gốm Chu Đậu – Văn Miếu Mao Điền 1 Ngày,Hải Dương,21.02083000,106.30021000,125000.00,"[""culture"", ""historical"", ""pickup"", ""meals"", ""entrance_fees"", ""guide""]",,,easy,group,,,"[""culture"", ""historical""]",,,
175,tour,48,Tour Hải Phòng – Đồ Sơn – Dinh Bảo Đại 2 Ngày,Hải Phòng,20.71045000,106.79895000,230000.00,"[""beach"", ""city"", ""historical"", ""pickup"", ""professional_guide"", ""hotel"", ""meals"", ""entrance_fees"", ""guide""]",,,easy,group,,,"[""beach"", ""city"", ""historical""]",,,
176,tour,49,Tour Hải Phòng – Trung Tâm Thành Phố – Bảo Tàng Hải Quân 1 Ngày,Hải Phòng,20.85611000,106.68222000,89000.00,"[""city"", ""culture"", ""historical"", ""pickup"", ""meals"", ""entrance_fees"", ""guide""]",,,easy,group,,,"[""city"", ""culture"", ""historical""]",,,
177,tour,50,Tour Hậu Giang – Chợ Nổi Ngã Bảy & Miệt Vườn 1 Ngày,Hậu Giang,9.81973900,105.81745900,180000.00,"[""culture"", ""nature"", ""food"", ""pickup"", ""professional_guide"", ""hotel"", ""meals"", ""transport"", ""guide""]",,,easy,group,,,"[""culture"", ""nature"", ""food""]",,,
178,tour,51,Tour Hậu Giang – Sinh Thái Lung Ngọc Hoàng 2 Ngày,Hậu Giang,9.72638900,105.67861100,230000.00,"[""nature"", ""wildlife"", ""pickup"", ""professional_guide"", ""hotel"", ""meals"", ""transport"", ""guide""]",,,moderate,group,,,"[""nature"", ""wildlife""]",,,
179,tour,52,Tour TP.HCM – City Tour Văn Hóa & Lịch Sử 1 Ngày,TP. Hồ Chí Minh,10.77688900,106.70080600,150000.00,"[""city"", ""historical"", ""culture"", ""pickup"", ""professional_guide"", ""transport"", ""guide"", ""entrance_fees""]",,,easy,group,,,"[""city"", ""historical"", ""culture""]",,,
180,tour,53,Tour TP.HCM – Địa Đạo Củ Chi 1 Ngày,TP. Hồ Chí Minh,11.02555600,106.49444400,200000.00,"[""historical"", ""culture"", ""pickup"", ""professional_guide"", ""transport"", ""guide"", ""entrance_fees""]",,,moderate,group,,,"[""historical"", ""culture""]",,,
181,tour,54,Tour Hòa Bình – Mai Châu Bản Lác 2 Ngày,Hòa Bình,20.66027800,105.10555600,220000.00,"[""nature"", ""culture"", ""mountain"", ""pickup"", ""professional_guide"", ""hotel"", ""meals"", ""transport"", ""guide""]",,,easy,group,,,"[""nature"", ""culture"", ""mountain""]",,,
182,tour,55,Tour Hòa Bình – Thủy Điện & Hồ Sông Đà 1 Ngày,Hòa Bình,20.81722200,105.33750000,90000.00,"[""nature"", ""mountain"", ""pickup"", ""professional_guide"", ""transport"", ""guide""]",,,easy,group,,,"[""nature"", ""mountain""]",,,
183,tour,56,Tour Phố Hiến – Văn Miếu Xích Đằng 1 Ngày,Hưng Yên,20.64690000,106.05100000,145000.00,"[""culture"", ""historical"", ""city"", ""pickup"", ""professional_guide"", ""hotel"", ""breakfast"", ""meals"", ""lunch"", ""dinner"", ""entrance_fees"", ""activities""]",,,easy,group,,,"[""culture"", ""historical"", ""city""]",,,
184,tour,57,Tour Làng Nôm – Chùa Chuông 2 Ngày 1 Đêm,Hưng Yên,20.98560000,106.03840000,210000.00,"[""culture"", ""nature"", ""historical"", ""pickup"", ""professional_guide"", ""hotel"", ""breakfast"", ""meals"", ""lunch"", ""dinner"", ""entrance_fees"", ""activities""]",,,moderate,group,,,"[""culture"", ""nature"", ""historical""]",,,
185,tour,58,Tour Nha Trang – Tháp Bà Ponagar 1 Ngày,Khánh Hòa,12.23880000,109.19670000,180000.00,"[""beach"", ""culture"", ""city"", ""pickup"", ""professional_guide"", ""hotel"", ""breakfast"", ""meals"", ""lunch"", ""dinner"", ""entrance_fees"", ""activities""]",,,easy,group,,,"[""beach"", ""culture"", ""city""]",,,
186,tour,59,Tour Vịnh Ninh Vân – Dốc Lết 3 Ngày 2 Đêm,Khánh Hòa,12.45000000,109.30000000,245000.00,"[""beach"", ""nature"", ""resort"", ""pickup"", ""professional_guide"", ""hotel"", ""breakfast"", ""meals"", ""lunch"", ""dinner"", ""entrance_fees"", ""activities""]",,,moderate,group,,,"[""beach"", ""nature"", ""resort""]",,,
187,tour,60,Tour Phú Quốc – Bãi Sao 2 Ngày 1 Đêm,Kiên Giang,10.28990000,103.98400000,230000.00,"[""beach"", ""island"", ""nature"", ""pickup"", ""professional_guide"", ""hotel"", ""breakfast"", ""meals"", ""lunch"", ""dinner"", ""entrance_fees"", ""activities""]",,,easy,group,,,"[""beach"", ""island"", ""nature""]",,,
188,tour,61,Tour Hà Tiên – Thạch Động 1 Ngày,Kiên Giang,10.38330000,104.48700000,95000.00,"[""nature"", ""historical"", ""city"", ""pickup"", ""professional_guide"", ""hotel"", ""breakfast"", ""meals"", ""lunch"", ""dinner"", ""entrance_fees"", ""activities""]",,,moderate,group,,,"[""nature"", ""historical"", ""city""]",,,
189,tour,62,Tour Kon Tum – Nhà Rông – Cầu Treo Kon Klor 2 Ngày,Kon Tum,14.35450000,108.00760000,185000.00,"[""culture"", ""nature"", ""historical"", ""pickup"", ""professional_guide"", ""hotel"", ""meals"", ""transport"", ""guide""]",,,easy,group,,,"[""culture"", ""nature"", ""historical""]",,,
190,tour,63,Tour Kon Tum – Măng Đen Sinh Thái 3 Ngày,Kon Tum,14.63090000,108.28480000,230000.00,"[""nature"", ""relax"", ""pickup"", ""professional_guide"", ""hotel"", ""meals"", ""transport"", ""guide""]",,,moderate,group,,,"[""nature"", ""relax""]",,,
191,tour,64,Tour Lai Châu – Đèo Ô Quy Hồ – Bản Làng 2 Ngày,Lai Châu,22.38620000,103.47030000,145000.00,"[""mountain"", ""culture"", ""pickup"", ""professional_guide"", ""hotel"", ""meals"", ""transport"", ""guide""]",,,moderate,group,,,"[""mountain"", ""culture""]",,,
192,tour,65,Tour Lai Châu – Sin Suối Hồ 3 Ngày,Lai Châu,22.54490000,103.48010000,210000.00,"[""adventure"", ""culture"", ""nature"", ""pickup"", ""professional_guide"", ""hotel"", ""meals"", ""transport"", ""guide""]",,,hard,group,,,"[""adventure"", ""culture"", ""nature""]",,,
193,tour,66,Tour Đà Lạt – Hồ Tuyền Lâm – Thiền Viện 2 Ngày,Lâm Đồng,11.94040000,108.45830000,165000.00,"[""relax"", ""nature"", ""pickup"", ""professional_guide"", ""hotel"", ""meals"", ""transport"", ""guide""]",,,easy,group,,,"[""relax"", ""nature""]",,,
194,tour,67,Tour Đà Lạt – Langbiang – Thác Datanla 3 Ngày,Lâm Đồng,12.00450000,108.44460000,245000.00,"[""nature"", ""adventure"", ""pickup"", ""professional_guide"", ""hotel"", ""meals"", ""transport"", ""guide""]",,,moderate,group,,,"[""nature"", ""adventure""]",,,
195,tour,68,Tour Lạng Sơn – Ải Chi Lăng – Động Tam Thanh 2 Ngày,Lạng Sơn,21.85370000,106.76150000,180000.00,"[""culture"", ""historical"", ""nature"", ""pickup"", ""professional_guide"", ""hotel"", ""meals"", ""transport"", ""guide""]",,,moderate,group,,,"[""culture"", ""historical"", ""nature""]",,,
196,tour,69,Tour Lạng Sơn – Mẫu Sơn 3 Ngày,Lạng Sơn,21.94790000,106.85520000,230000.00,"[""nature"", ""mountain"", ""adventure"", ""pickup"", ""hotel"", ""meals"", ""transport""]",,,hard,group,,,"[""nature"", ""mountain"", ""adventure""]",,,
197,tour,70,Tour Lào Cai – Sa Pa – Bản Cát Cát 3 Ngày,Lào Cai,22.34000000,103.84400000,210000.00,"[""nature"", ""culture"", ""mountain"", ""pickup"", ""professional_guide"", ""hotel"", ""meals"", ""guide""]",,,moderate,group,,,"[""nature"", ""culture"", ""mountain""]",,,
198,tour,71,Tour Lào Cai – Fansipan 2 Ngày,Lào Cai,22.30450000,103.80400000,250000.00,"[""adventure"", ""mountain"", ""pickup"", ""transport"", ""guide""]",,,hard,group,,,"[""adventure"", ""mountain""]",,,
199,tour,72,Tour Long An – Làng Nổi Tân Lập 1 Ngày,Long An,10.66750000,106.10780000,90000.00,"[""nature"", ""ecotourism"", ""pickup"", ""transport"", ""entrance_fees""]",,,easy,group,,,"[""nature"", ""ecotourism""]",,,
200,tour,73,Tour Long An – Nhà Trăm Cột – Đồng Tháp Mười 2 Ngày,Long An,10.53720000,106.61230000,160000.00,"[""culture"", ""nature"", ""pickup"", ""hotel"", ""transport""]",,,easy,group,,,"[""culture"", ""nature""]",,,
201,tour,74,Tour Nam Định – Phủ Dầy – Nhà Thờ Đá 1 Ngày,Nam Định,20.36542100,106.16012300,180000.00,"[""culture"", ""religious"", ""historical"", ""pickup"", ""professional_guide"", ""meals"", ""entrance_fees"", ""guide""]",,,easy,group,,,"[""culture"", ""religious"", ""historical""]",,,
202,tour,75,Tour Nam Định – Biển Thịnh Long 2 Ngày,Nam Định,20.08321400,106.28145600,230000.00,"[""beach"", ""food"", ""nature"", ""pickup"", ""hotel"", ""meals"", ""transport""]",,,easy,group,,,"[""beach"", ""food"", ""nature""]",,,
203,tour,76,Tour Nghệ An – Quê Bác – Làng Sen 1 Ngày,Nghệ An,18.67124500,105.56789000,150000.00,"[""culture"", ""historical"", ""pickup"", ""guide"", ""meals"", ""entrance_fees""]",,,easy,group,,,"[""culture"", ""historical""]",,,
204,tour,77,Tour Nghệ An – Biển Cửa Lò 2 Ngày,Nghệ An,18.80432100,105.72845600,240000.00,"[""beach"", ""food"", ""pickup"", ""hotel"", ""meals""]",,,easy,group,,,"[""beach"", ""food""]",,,
205,tour,78,Tour Ninh Bình – Tràng An – Bái Đính 1 Ngày,Ninh Bình,20.25078900,105.97432100,200000.00,"[""culture"", ""nature"", ""historical"", ""pickup"", ""guide"", ""meals"", ""entrance_fees""]",,,easy,group,,,"[""culture"", ""nature"", ""historical""]",,,
206,tour,79,Tour Ninh Bình – Tam Cốc – Hang Múa 2 Ngày,Ninh Bình,20.21456700,105.93123400,220000.00,"[""nature"", ""adventure"", ""photography"", ""pickup"", ""hotel"", ""meals""]",,,moderate,group,,,"[""nature"", ""adventure"", ""photography""]",,,
207,tour,80,Tour Ninh Thuận – Vịnh Vĩnh Hy – Hang Rái 1 Ngày,Ninh Thuận,11.73972200,109.20583300,180000.00,"[""nature"", ""beach"", ""photography"", ""pickup"", ""professional_guide"", ""hotel"", ""meals"", ""transport"", ""guide"", ""entrance_fees""]",,,easy,group,,,"[""nature"", ""beach"", ""photography""]",,,
208,tour,81,Tour Ninh Thuận – Tháp Po Klong Garai – Làng Gốm Bàu Trúc 2 Ngày,Ninh Thuận,11.57416700,108.98888900,230000.00,"[""culture"", ""historical"", ""pickup"", ""professional_guide"", ""hotel"", ""meals"", ""transport"", ""guide""]",,,moderate,group,,,"[""culture"", ""historical""]",,,
209,tour,82,Tour Phú Thọ – Đền Hùng – Suối Khoáng Thanh Thủy 1 Ngày,Phú Thọ,21.32916700,105.37277800,150000.00,"[""historical"", ""culture"", ""relax"", ""pickup"", ""professional_guide"", ""transport"", ""guide"", ""entrance_fees""]",,,easy,group,,,"[""historical"", ""culture"", ""relax""]",,,
210,tour,83,Tour Phú Thọ – Vườn Quốc Gia Xuân Sơn 2 Ngày,Phú Thọ,21.09361100,104.97888900,210000.00,"[""nature"", ""adventure"", ""pickup"", ""professional_guide"", ""hotel"", ""meals"", ""transport"", ""guide""]",,,hard,group,,,"[""nature"", ""adventure""]",,,
211,tour,84,Tour Phú Yên – Gành Đá Đĩa – Đầm Ô Loan 1 Ngày,Phú Yên,13.34805600,109.28361100,170000.00,"[""beach"", ""nature"", ""photography"", ""pickup"", ""professional_guide"", ""transport"", ""guide"", ""entrance_fees""]",,,easy,group,,,"[""beach"", ""nature"", ""photography""]",,,
212,tour,85,Tour Phú Yên – Hải Đăng Đại Lãnh – Bãi Môn 2 Ngày,Phú Yên,12.87388900,109.45472200,240000.00,"[""beach"", ""adventure"", ""pickup"", ""professional_guide"", ""hotel"", ""meals"", ""transport"", ""guide""]",,,moderate,group,,,"[""beach"", ""adventure""]",,,
213,tour,86,Tour Phong Nha – Động Thiên Đường 2 Ngày 1 Đêm,Quảng Bình,17.59020000,106.28330000,185000.00,"[""nature"", ""adventure"", ""cave"", ""pickup"", ""professional_guide"", ""hotel"", ""meals"", ""transport"", ""guide"", ""entrance_fees""]",,,moderate,group,,,"[""nature"", ""adventure"", ""cave""]",,,
214,tour,87,Tour Biển Nhật Lệ – Suối Moọc 1 Ngày,Quảng Bình,17.46890000,106.62360000,95000.00,"[""beach"", ""nature"", ""pickup"", ""meals"", ""transport"", ""entrance_fees""]",,,easy,group,,,"[""beach"", ""nature""]",,,
215,tour,88,Tour Hội An – Cù Lao Chàm 2 Ngày 1 Đêm,Quảng Nam,15.88010000,108.33800000,210000.00,"[""culture"", ""beach"", ""pickup"", ""boat_transfer"", ""hotel"", ""meals"", ""transport"", ""guide""]",,,easy,group,,,"[""culture"", ""beach""]",,,
